timestamp,room_it_kwh,irc_kwh,panel_kwh (cooling plant),final_it_kwh,facility_kwh_final,pue,,
2026-04-11 01:00:00,97.2,9,24.3,88.2,121.5,1.37755102040816,,
2026-04-11 01:30:00,96.9,9,24.2,87.9,121.1,1.37770193401593,,
2026-04-11 02:00:00,96.9,11,24.2,85.9,121.1,1.40977881257276,,
2026-04-11 02:30:00,97.2,8,24.1,89.2,121.3,1.35986547085202,,
2026-04-11 03:00:00,97.1,11,24.1,86.1,121.2,1.40766550522648,,
2026-04-11 03:30:00,97.1,6,24.1,91.1,121.2,1.33040614709111,,
2026-04-11 04:00:00,96.9,11,24.1,85.9,121,1.40861466821886,,
2026-04-11 04:30:00,96.9,10,24,86.9,120.9,1.39125431530495,,
2026-04-11 05:00:00,96.8,7,24.1,89.8,120.9,1.34632516703786,,
2026-04-11 05:30:00,96.5,11,24,85.5,120.5,1.4093567251462,,
2026-04-11 06:00:00,96.7,9,24,87.7,120.7,1.37628278221209,,
2026-04-11 06:30:00,97.2,10,24.1,87.2,121.3,1.39105504587156,,
2026-04-11 07:00:00,97,8,24.2,89,121.2,1.36179775280899,,
2026-04-11 07:30:00,97.2,10,24.2,87.2,121.4,1.39220183486239,,
2026-04-11 08:00:00,97.5,8,24.4,89.5,121.9,1.36201117318436,,
2026-04-11 08:30:00,97.3,10,25.2,87.3,122.5,1.40320733104238,,
2026-04-11 09:00:00,97.3,8,25.6,89.3,122.9,1.37625979843225,,
2026-04-11 09:30:00,97.2,7,27.5,90.2,124.7,1.38248337028825,,
2026-04-11 10:00:00,94.3,9,33.8,85.3,128.1,1.50175849941383,,
2026-04-11 10:30:00,94.6,10,23.2,84.6,117.8,1.39243498817967,,
2026-04-11 11:00:00,96.8,7,24.5,89.8,121.3,1.35077951002227,,
2026-04-11 11:30:00,96.3,7,31.4,89.3,127.7,1.43001119820829,,
2026-04-11 12:00:00,93.9,8,29.8,85.9,123.7,1.44004656577416,,
2026-04-11 12:30:00,96.3,8,29.5,88.3,125.8,1.4246885617214,,
2026-04-11 13:00:00,95.2,5,30.3,90.2,125.5,1.39135254988914,,
2026-04-11 13:30:00,94.9,9,32.9,85.9,127.8,1.48777648428405,,
2026-04-11 14:00:00,95.9,7,38.3,88.9,134.2,1.5095613048369,,
2026-04-11 14:30:00,96.2,7,39,89.2,135.2,1.51569506726457,,
2026-04-11 15:00:00,96.1,8,41.9,88.1,138,1.56640181611805,,
2026-04-11 15:30:00,94.6,6,54.2,88.6,148.8,1.67945823927765,,
2026-04-11 16:00:00,95.6,8,51.4,87.6,147,1.67808219178082,,
2026-04-11 16:30:00,95.6,8,47.1,87.6,142.7,1.62899543378995,,
2026-04-11 17:00:00,94.8,7,50.5,87.8,145.3,1.65489749430524,,
2026-04-11 17:30:00,95.2,7,55.6,88.2,150.8,1.70975056689342,,
2026-04-11 18:00:00,96.2,8,47.2,88.2,143.4,1.62585034013605,,
2026-04-11 18:30:00,94.9,7,46.5,87.9,141.4,1.60864618885097,,
2026-04-11 19:00:00,95,8,57.9,87,152.9,1.75747126436782,,
2026-04-11 19:30:00,94.9,6,46.8,88.9,141.7,1.59392575928009,,
2026-04-11 20:00:00,94.9,8,39.2,86.9,134.1,1.54315304948216,,
2026-04-11 20:30:00,94.1,8,35.2,86.1,129.3,1.50174216027875,,
2026-04-11 21:00:00,95.1,8,31.8,87.1,126.9,1.45694603903559,,
2026-04-11 21:30:00,95.4,8,22.8,87.4,118.2,1.35240274599542,,
2026-04-11 22:00:00,97.5,9,24.4,88.5,121.9,1.3774011299435,,
2026-04-11 22:30:00,97.9,9,24.8,88.9,122.7,1.38020247469066,,
2026-04-11 23:00:00,98.1,10,24.6,88.1,122.7,1.39273552780931,,
2026-04-11 23:30:00,98.3,9,24.7,89.3,123,1.37737961926092,,
2026-04-12 00:00:00,98.5,10,24.6,88.5,123.1,1.3909604519774,,
2026-04-12 00:30:00,98.9,10,24.6,88.9,123.5,1.38920134983127,,
2026-04-12 01:00:00,98.3,9,24.4,89.3,122.7,1.37402015677492,,
2026-04-12 01:30:00,98.7,9,24.4,89.7,123.1,1.37235228539576,,
2026-04-12 02:00:00,98.5,8,24.2,90.5,122.7,1.35580110497238,,
2026-04-12 02:30:00,98.3,10,24,88.3,122.3,1.38505096262741,,
2026-04-12 03:00:00,97.8,9,24,88.8,121.8,1.37162162162162,,
2026-04-12 03:30:00,97.6,10,23.9,87.6,121.5,1.38698630136986,,
2026-04-12 04:00:00,97.9,10,23.6,87.9,121.5,1.38225255972696,,
2026-04-12 04:30:00,98.1,10,23.6,88.1,121.7,1.38138479001135,,
2026-04-12 05:00:00,98.1,8,23.5,90.1,121.6,1.3496115427303,,
2026-04-12 05:30:00,97.7,9,23.5,88.7,121.2,1.36640360766629,,
2026-04-12 06:00:00,97.8,8,23.4,89.8,121.2,1.34966592427617,,
2026-04-12 06:30:00,97.4,11,23.2,86.4,120.6,1.39583333333333,,
2026-04-12 07:00:00,97.6,9,23.1,88.6,120.7,1.36230248306998,,
2026-04-12 07:30:00,98.1,9,23.4,89.1,121.5,1.36363636363636,,
2026-04-12 08:00:00,97.6,10,23.6,87.6,121.2,1.38356164383562,,
2026-04-12 08:30:00,97.6,8,24.7,89.6,122.3,1.36495535714286,,
2026-04-12 09:00:00,97.6,6,28.6,91.6,126.2,1.37772925764192,,
2026-04-12 09:30:00,94.6,7,33.5,87.6,128.1,1.46232876712329,,
2026-04-12 10:00:00,94.5,6,29.8,88.5,124.3,1.4045197740113,,
2026-04-12 10:30:00,94.3,8,29.8,86.3,124.1,1.43800695249131,,
2026-04-12 11:00:00,93.9,8,33.5,85.9,127.4,1.48311990686845,,
2026-04-12 11:30:00,95.1,5,39.5,90.1,134.6,1.49389567147614,,
2026-04-12 12:00:00,95,9,39.7,86,134.7,1.56627906976744,,
2026-04-12 12:30:00,94.8,8,45.1,86.8,139.9,1.61175115207373,,
2026-04-12 13:00:00,93.8,6,54.3,87.8,148.1,1.68678815489749,,
2026-04-12 13:30:00,95.1,8,51.3,87.1,146.4,1.68082663605052,,
2026-04-12 14:00:00,94.3,6,46.8,88.3,141.1,1.59796149490374,,
2026-04-12 14:30:00,93.4,7,51.6,86.4,145,1.67824074074074,,
2026-04-12 15:00:00,94.7,9,54.6,85.7,149.3,1.74212368728121,,
2026-04-12 15:30:00,95.2,6,47.6,89.2,142.8,1.60089686098655,,
2026-04-12 16:00:00,94,8,48.5,86,142.5,1.65697674418605,,
2026-04-12 16:30:00,94.9,7,57.8,87.9,152.7,1.73720136518771,,
2026-04-12 17:00:00,95.1,6,47.4,89.1,142.5,1.5993265993266,,
2026-04-12 17:30:00,94.8,9,46.8,85.8,141.6,1.65034965034965,,
2026-04-12 18:00:00,94.5,4,56.2,90.5,150.7,1.66519337016575,,
2026-04-12 18:30:00,95.3,9,48.9,86.3,144.2,1.67091541135574,,
2026-04-12 19:00:00,95,6,46.2,89,141.2,1.58651685393258,,
2026-04-12 19:30:00,95,8,52.2,87,147.2,1.69195402298851,,
2026-04-12 20:00:00,95.8,6,50.5,89.8,146.3,1.62917594654788,,
2026-04-12 20:30:00,95.6,10,37.9,85.6,133.5,1.55957943925234,,
2026-04-12 21:00:00,94.8,5,38.1,89.8,132.9,1.47995545657016,,
2026-04-12 21:30:00,95.2,9,35.4,86.2,130.6,1.51508120649652,,
2026-04-12 22:00:00,95.3,9,24,86.3,119.3,1.38238702201622,,
2026-04-12 22:30:00,97.4,11,24.9,86.4,122.3,1.41550925925926,,
2026-04-12 23:00:00,97.3,8,24.8,89.3,122.1,1.36730123180291,,
2026-04-12 23:30:00,97.3,10,24.5,87.3,121.8,1.39518900343643,,
2026-04-13 00:00:00,97.7,7,24.2,90.7,121.9,1.34399117971334,,
2026-04-13 00:30:00,98.1,11,24.3,87.1,122.4,1.4052812858783,,
2026-04-13 01:00:00,97.6,9,24.6,88.6,122.2,1.37923250564334,,
2026-04-13 01:30:00,97.4,9,24.4,88.4,121.8,1.37782805429864,,
2026-04-13 02:00:00,97.5,10,24.1,87.5,121.6,1.38971428571429,,
2026-04-13 02:30:00,97.9,9,24,88.9,121.9,1.37120359955006,,
2026-04-13 03:00:00,97.4,10,23.9,87.4,121.3,1.38787185354691,,
2026-04-13 03:30:00,97.3,8,23.9,89.3,121.2,1.35722284434491,,
2026-04-13 04:00:00,97,9,23.4,88,120.4,1.36818181818182,,
2026-04-13 04:30:00,97.2,9,23.5,88.2,120.7,1.36848072562358,,
2026-04-13 05:00:00,97.5,10,23.8,87.5,121.3,1.38628571428571,,
2026-04-13 05:30:00,97.2,8,24,89.2,121.2,1.35874439461883,,
2026-04-13 06:00:00,97.3,12,23.8,85.3,121.1,1.41969519343494,,
2026-04-13 06:30:00,97.4,7,24.2,90.4,121.6,1.34513274336283,,
2026-04-13 07:00:00,97.4,11,23.7,86.4,121.1,1.40162037037037,,
2026-04-13 07:30:00,97.7,7,23.7,90.7,121.4,1.33847850055127,,
2026-04-13 08:00:00,97.4,11,23.4,86.4,120.8,1.39814814814815,,
2026-04-13 08:30:00,97.4,8,24.5,89.4,121.9,1.36353467561521,,
2026-04-13 09:00:00,97.4,10,24.9,87.4,122.3,1.39931350114416,,
2026-04-13 09:30:00,96.8,4,29.9,92.8,126.7,1.36530172413793,,
2026-04-13 10:00:00,93.5,9,33.6,84.5,127.1,1.50414201183432,,
2026-04-13 10:30:00,94.7,6,31.1,88.7,125.8,1.41826381059752,,
2026-04-13 11:00:00,95.5,7,32,88.5,127.5,1.44067796610169,,
2026-04-13 11:30:00,95.1,8,36.5,87.1,131.6,1.51090700344432,,
2026-04-13 12:00:00,95.4,5,50.9,90.4,146.3,1.61836283185841,,
2026-04-13 12:30:00,95.6,9,49.3,86.6,144.9,1.67321016166282,,
2026-04-13 13:00:00,95.8,8,47.5,87.8,143.3,1.63211845102506,,
2026-04-13 13:30:00,95.4,6,52.7,89.4,148.1,1.65659955257271,,
2026-04-13 14:00:00,96.1,7,54.4,89.1,150.5,1.68911335578002,,
2026-04-13 14:30:00,95.9,8,47.4,87.9,143.3,1.63026166097838,,
2026-04-13 15:00:00,94.3,6,49.7,88.3,144,1.63080407701019,,
2026-04-13 15:30:00,95.4,8,55.4,87.4,150.8,1.7254004576659,,
2026-04-13 16:00:00,95.1,6,47.2,89.1,142.3,1.59708193041526,,
2026-04-13 16:30:00,94.6,8,48.5,86.6,143.1,1.65242494226328,,
2026-04-13 17:00:00,95.2,7,54.1,88.2,149.3,1.69274376417234,,
2026-04-13 17:30:00,95.4,8,43.7,87.4,139.1,1.59153318077803,,
2026-04-13 18:00:00,95,6,46.2,89,141.2,1.58651685393258,,
2026-04-13 18:30:00,95.7,10,57.8,85.7,153.5,1.79113185530922,,
2026-04-13 19:00:00,96.2,4,46.5,92.2,142.7,1.54772234273319,,
2026-04-13 19:30:00,96.1,9,43.1,87.1,139.2,1.59816303099885,,
2026-04-13 20:00:00,95.2,8,50.9,87.2,146.1,1.67545871559633,,
2026-04-13 20:30:00,96.9,6,37.7,90.9,134.6,1.48074807480748,,
2026-04-13 21:00:00,96.2,8,32.2,88.2,128.4,1.45578231292517,,
2026-04-13 21:30:00,94.7,7,31.7,87.7,126.4,1.44127708095781,,
2026-04-13 22:00:00,95.6,7,32,88.6,127.6,1.44018058690745,,
2026-04-13 22:30:00,95.9,9,27.7,86.9,123.6,1.42232451093211,,
2026-04-13 23:00:00,94.9,9,28,85.9,122.9,1.43073341094296,,
2026-04-13 23:30:00,97.9,9,23.7,88.9,121.6,1.36782902137233,,
2026-04-14 00:00:00,98.5,9,25.2,89.5,123.7,1.38212290502793,,
2026-04-14 00:30:00,99.1,7,25.3,92.1,124.4,1.35070575461455,,
2026-04-14 01:00:00,99.3,11,25.3,88.3,124.6,1.41109852774632,,
2026-04-14 01:30:00,99,9,25.1,90,124.1,1.37888888888889,,
2026-04-14 02:00:00,98.7,9,24.9,89.7,123.6,1.37792642140468,,
2026-04-14 02:30:00,98.4,9,24.8,89.4,123.2,1.37807606263982,,
2026-04-14 03:00:00,98.8,11,24.3,87.8,123.1,1.40205011389522,,
2026-04-14 03:30:00,99.2,7,24.5,92.2,123.7,1.34164859002169,,
2026-04-14 04:00:00,99.1,10,24.3,89.1,123.4,1.38496071829405,,
2026-04-14 04:30:00,98.9,8,24.4,90.9,123.3,1.35643564356436,,
2026-04-14 05:00:00,98.7,11,24.4,87.7,123.1,1.4036488027366,,
2026-04-14 05:30:00,98.5,10,24.1,88.5,122.6,1.38531073446328,,
2026-04-14 06:00:00,98.9,8,23.8,90.9,122.7,1.34983498349835,,
2026-04-14 06:30:00,98.3,10,24.2,88.3,122.5,1.38731596828992,,
2026-04-14 07:00:00,98.2,9,23.8,89.2,122,1.3677130044843,,
2026-04-14 07:30:00,98.5,9,23.6,89.5,122.1,1.36424581005587,,
2026-04-14 08:00:00,98.6,9,23.9,89.6,122.5,1.3671875,,
2026-04-14 08:30:00,99,9,25.3,90,124.3,1.38111111111111,,
2026-04-14 09:00:00,98,7,32.7,91,130.7,1.43626373626374,,
2026-04-14 09:30:00,95.7,7,31.2,88.7,126.9,1.43066516347238,,
2026-04-14 10:00:00,96.1,7,36.2,89.1,132.3,1.48484848484849,,
2026-04-14 10:30:00,96.6,9,34.8,87.6,131.4,1.5,,
2026-04-14 11:00:00,96.1,7,35,89.1,131.1,1.47138047138047,,
2026-04-14 11:30:00,97.4,8,46.9,89.4,144.3,1.61409395973154,,
2026-04-14 12:00:00,96.1,7,58.3,89.1,154.4,1.73288439955107,,
2026-04-14 12:30:00,96.7,8,48.2,88.7,144.9,1.63359639233371,,
2026-04-14 13:00:00,95.8,6,47,89.8,142.8,1.5902004454343,,
2026-04-14 13:30:00,96.4,8,60.2,88.4,156.6,1.77149321266968,,
2026-04-14 14:00:00,97.2,6,46.1,91.2,143.3,1.57127192982456,,
2026-04-14 14:30:00,96.4,9,52,87.4,148.4,1.69794050343249,,
2026-04-14 15:00:00,97.4,7,55.2,90.4,152.6,1.68805309734513,,
2026-04-14 15:30:00,97.1,7,48.2,90.1,145.3,1.6126526082131,,
2026-04-14 16:30:00,96.7,8,52.6,88.7,149.3,1.68320180383315,,
2026-04-14 17:00:00,98.2,7,56.2,91.2,154.4,1.69298245614035,,
2026-04-14 17:30:00,97.4,8,49,89.4,146.4,1.63758389261745,,
2026-04-14 18:00:00,96.4,7,48.1,89.4,144.5,1.61633109619687,,
2026-04-14 18:30:00,96.8,7,59.6,89.8,156.4,1.74164810690423,,
2026-04-14 19:00:00,97.4,9,48.3,88.4,145.7,1.64819004524887,,
2026-04-14 19:30:00,97.2,5,47.2,92.2,144.4,1.56616052060738,,
2026-04-14 20:00:00,96.8,9,59.1,87.8,155.9,1.77562642369021,,
2026-04-14 20:30:00,98,9,50.6,89,148.6,1.66966292134831,,
2026-04-14 21:00:00,97.6,5,48,92.6,145.6,1.57235421166307,,
2026-04-14 21:30:00,96.4,7,54.1,89.4,150.5,1.6834451901566,,
2026-04-14 22:00:00,97.5,11,54.1,86.5,151.6,1.75260115606936,,
2026-04-14 22:30:00,97.1,4,46.6,93.1,143.7,1.54350161117078,,
2026-04-14 23:00:00,95.9,7,52.1,88.9,148,1.66479190101237,,
2026-04-14 23:30:00,96.5,11,54.5,85.5,151,1.76608187134503,,
2026-04-15 01:00:00,96.6,10,47.8,86.6,144.4,1.66743648960739,,
2026-04-15 01:30:00,96.2,4,46.1,92.2,142.3,1.54338394793926,,
2026-04-15 02:00:00,96.4,8,56.2,88.4,152.6,1.7262443438914,,
2026-04-15 02:30:00,96.9,10,50.4,86.9,147.3,1.69505178365938,,
2026-04-15 03:00:00,96.3,4,45.8,92.3,142.1,1.53954496208017,,
2026-04-15 03:30:00,95.3,8,57.7,87.3,153,1.75257731958763,,
2026-04-15 04:00:00,96.7,10,49.7,86.7,146.4,1.68858131487889,,
2026-04-15 04:30:00,97,5,47,92,144,1.56521739130435,,
2026-04-15 05:00:00,96.3,7,53.1,89.3,149.4,1.67301231802912,,
2026-04-15 05:30:00,96.7,11,53.8,85.7,150.5,1.7561260210035,,
2026-04-15 06:00:00,96.1,5,47,91.1,143.1,1.57080131723381,,
2026-04-15 06:30:00,96.1,7,49,89.1,145.1,1.62850729517396,,
2026-04-15 07:00:00,96.6,10,56.9,86.6,153.5,1.77251732101617,,
2026-04-15 07:30:00,97,6,47.5,91,144.5,1.58791208791209,,
2026-04-15 08:00:00,96.1,6,46.2,90.1,142.3,1.57935627081021,,
2026-04-15 08:30:00,96.5,11,59.3,85.5,155.8,1.82222222222222,,
2026-04-15 09:00:00,97.7,6,48.3,91.7,146,1.59214830970556,,
2026-04-15 09:30:00,97.7,5,47,92.7,144.7,1.56094929881338,,
2026-04-15 10:00:00,96.4,11,57.2,85.4,153.6,1.79859484777518,,
2026-04-15 10:30:00,97.3,7,50,90.3,147.3,1.6312292358804,,
2026-04-15 11:00:00,97.4,7,47.6,90.4,145,1.60398230088496,,
2026-04-15 11:30:00,97.4,8,48.4,89.4,145.8,1.63087248322148,,
2026-04-15 12:00:00,96.3,8,56.4,88.3,152.7,1.72933182332956,,
2026-04-15 12:30:00,97.2,5,51.1,92.2,148.3,1.60845986984816,,
2026-04-15 13:00:00,96.7,10,46.8,86.7,143.5,1.65513264129181,,
2026-04-15 13:30:00,96.4,6,54,90.4,150.4,1.66371681415929,,
2026-04-15 14:00:00,97.8,7,53,90.8,150.8,1.66079295154185,,
2026-04-15 14:30:00,97.4,8,47.3,89.4,144.7,1.61856823266219,,
2026-04-15 15:00:00,95.9,8,51.9,87.9,147.8,1.68145620022753,,
2026-04-15 15:30:00,97.6,6,54.7,91.6,152.3,1.66266375545852,,
2026-04-15 16:00:00,97.4,9,48.6,88.4,146,1.65158371040724,,
2026-04-15 16:30:00,96.2,7,48.3,89.2,144.5,1.61995515695067,,
2026-04-15 17:00:00,96.7,8,57.9,88.7,154.6,1.74295377677565,,
2026-04-15 17:30:00,97.3,7,48.1,90.3,145.4,1.61018826135105,,
2026-04-15 18:00:00,96.3,9,46.1,87.3,142.4,1.631156930126,,
2026-04-15 18:30:00,96.4,6,59,90.4,155.4,1.71902654867257,,
2026-04-15 19:00:00,96.9,8,48.4,88.9,145.3,1.63442069741282,,
2026-04-15 19:30:00,96.7,8,47.4,88.7,144.1,1.62457722660654,,
2026-04-15 20:00:00,96.1,6,55.2,90.1,151.3,1.67924528301887,,
2026-04-15 20:30:00,97.1,8,51.6,89.1,148.7,1.668911335578,,
2026-04-15 21:00:00,96.4,8,45.2,88.4,141.6,1.60180995475113,,
2026-04-15 21:30:00,95.4,6,51.3,89.4,146.7,1.64093959731544,,
2026-04-15 22:00:00,96.1,8,51.1,88.1,147.2,1.67082860385925,,
2026-04-15 22:30:00,96.5,9,39.6,87.5,136.1,1.55542857142857,,
2026-04-15 23:00:00,96.4,5,38.2,91.4,134.6,1.472647702407,,
2026-04-15 23:30:00,95.8,9,42.6,86.8,138.4,1.59447004608295,,
2026-04-16 00:00:00,96.2,7,32.8,89.2,129,1.44618834080718,,
2026-04-16 00:30:00,95.9,7,29.9,88.9,125.8,1.41507311586052,,
2026-04-16 01:00:00,95.4,6,31.3,89.4,126.7,1.417225950783,,
2026-04-16 01:30:00,96.5,10,31.2,86.5,127.7,1.47630057803468,,
2026-04-16 02:00:00,95.3,5,27.8,90.3,123.1,1.36323366555925,,
2026-04-16 02:30:00,94.6,9,30.7,85.6,125.3,1.46378504672897,,
2026-04-16 03:00:00,96.5,8,28.2,88.5,124.7,1.4090395480226,,
2026-04-16 03:30:00,94.6,6,28.8,88.6,123.4,1.39277652370203,,
2026-04-16 04:00:00,97.2,7,27.4,90.2,124.6,1.38137472283814,,
2026-04-16 04:30:00,94.7,10,29.8,84.7,124.5,1.46989374262102,,
2026-04-16 05:00:00,97.1,6,24.6,91.1,121.7,1.33589462129528,,
2026-04-16 05:30:00,96.1,9,33.9,87.1,130,1.49253731343284,,
2026-04-16 06:00:00,97.3,8,23,89.3,120.3,1.3471444568869,,
2026-04-16 06:30:00,96.4,9,34.2,87.4,130.6,1.49427917620137,,
2026-04-16 07:00:00,97.2,6,23.6,91.2,120.8,1.32456140350877,,
2026-04-16 07:30:00,97.8,6,32.5,91.8,130.3,1.41938997821351,,
2026-04-16 08:00:00,96.3,11,25.8,85.3,122.1,1.43141852286049,,
2026-04-16 08:30:00,95.9,4,37,91.9,132.9,1.44613710554951,,
2026-04-16 09:00:00,96.2,9,33,87.2,129.2,1.48165137614679,,
2026-04-16 09:30:00,96.6,8,34.5,88.6,131.1,1.47968397291196,,
2026-04-16 10:00:00,96.5,7,37.6,89.5,134.1,1.49832402234637,,
2026-04-16 10:30:00,97.5,6,52.1,91.5,149.6,1.63497267759563,,
2026-04-16 11:00:00,97.7,12,47.4,85.7,145.1,1.69311551925321,,
2026-04-16 11:30:00,97.2,5,50.8,92.2,148,1.60520607375271,,
2026-04-16 12:00:00,98.1,9,56.2,89.1,154.3,1.7317620650954,,
2026-04-16 12:30:00,98,9,47.9,89,145.9,1.63932584269663,,
2026-04-16 13:00:00,96.5,7,49.7,89.5,146.2,1.63351955307263,,
2026-04-16 13:30:00,97.5,8,56.8,89.5,154.3,1.72402234636872,,
2026-04-16 14:00:00,97.4,9,48,88.4,145.4,1.6447963800905,,
2026-04-16 14:30:00,96.5,6,49.2,90.5,145.7,1.60994475138122,,
2026-04-16 15:00:00,97,9,57.6,88,154.6,1.75681818181818,,
2026-04-16 15:30:00,97.5,7,48.1,90.5,145.6,1.60883977900552,,
